 region                                  model                                                              sku   limit   used  available  unit
 swedencentral                                o3-mini                                  OpenAI.DataZoneStandard.o3-mini     200      0        200 Count
 swedencentral                            ModelRouter                                OpenAI.GlobalStandard.ModelRouter     250    250          0 Count
 swedencentral                            ModelRouter                              OpenAI.DataZoneStandard.ModelRouter     150      0        150 Count
 swedencentral                             codex-mini                                 OpenAI.GlobalStandard.codex-mini    1000      0       1000 Count
 swedencentral                                   sora                                       OpenAI.GlobalStandard.sora      60      0         60 Count
 swedencentral                                 sora-2                                     OpenAI.GlobalStandard.sora-2      60      0         60 Count
 swedencentral                                o4-mini                                    OpenAI.GlobalStandard.o4-mini    1000      0       1000 Count
 swedencentral                                o4-mini                                          OpenAI.Standard.o4-mini    1000      0       1000 Count
 swedencentral                       o4-mini-finetune                           OpenAI.GlobalStandard.o4-mini-finetune     500      0        500 Count
 swedencentral                       o4-mini-finetune                            OpenAI.DeveloperTier.o4-mini-finetune     250      0        250 Count
 swedencentral                       o4-mini-finetune                                 OpenAI.Standard.o4-mini-finetune     500      0        500 Count
 swedencentral                                o4-mini                                       OpenAI.GlobalBatch.o4-mini  200000      0     200000 Count
 swedencentral                                o4-mini                                     OpenAI.DataZoneBatch.o4-mini   30000      0      30000 Count
 swedencentral                                o4-mini                                  OpenAI.DataZoneStandard.o4-mini     300      0        300 Count
 swedencentral                                 gpt4.1                                     OpenAI.GlobalStandard.gpt4.1    1000      0       1000 Count
 swedencentral                                 gpt4.1                                           OpenAI.Standard.gpt4.1    1079     79       1000 Count
 swedencentral                                 gpt4.1                                   OpenAI.DataZoneStandard.gpt4.1     300      0        300 Count
 swedencentral                        gpt4.1-finetune                            OpenAI.GlobalStandard.gpt4.1-finetune     250      0        250 Count
 swedencentral                        gpt4.1-finetune                                  OpenAI.Standard.gpt4.1-finetune     250      0        250 Count
 swedencentral                        gpt4.1-finetune                             OpenAI.DeveloperTier.gpt4.1-finetune     250      0        250 Count
 swedencentral                   gpt4.1-mini-finetune                       OpenAI.GlobalStandard.gpt4.1-mini-finetune     500      0        500 Count
 swedencentral                   gpt4.1-mini-finetune                             OpenAI.Standard.gpt4.1-mini-finetune     500      0        500 Count
 swedencentral                   gpt4.1-mini-finetune                        OpenAI.DeveloperTier.gpt4.1-mini-finetune     500      0        500 Count
